"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"negative-influence-voting"
"01/20/2026 11:28:52:023 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-10","10","-10","10"
"[run number]","learning-rate","percent-option-B","confidence-threshold","influence-type","[step]","pref-A","pref-B"
"9","0.2","39","0.1","negative","1500","254","187"
"6","0.2","39","0.1","negative","1500","251","190"
"5","0.2","39","0.1","negative","1500","254","187"
"3","0.2","39","0.1","negative","1500","254","187"
"8","0.2","39","0.1","negative","1600","249","192"
"4","0.2","39","0.1","negative","1600","251","190"
"7","0.2","39","0.1","negative","1600","255","186"
"1","0.2","39","0.1","negative","1000","256","185"
"9","0.2","39","0.1","negative","1600","251","190"
"2","0.2","39","0.1","negative","1200","242","199"
"6","0.2","39","0.1","negative","1600","247","194"
"5","0.2","39","0.1","negative","1600","254","187"
"3","0.2","39","0.1","negative","1600","254","187"
"8","0.2","39","0.1","negative","1700","247","194"
"4","0.2","39","0.1","negative","1700","251","190"
"7","0.2","39","0.1","negative","1700","253","188"
"9","0.2","39","0.1","negative","1700","250","191"
"6","0.2","39","0.1","negative","1700","247","194"
"5","0.2","39","0.1","negative","1700","251","190"
"3","0.2","39","0.1","negative","1700","253","188"
"1","0.2","39","0.1","negative","1100","254","187"
"2","0.2","39","0.1","negative","1300","241","200"
"4","0.2","39","0.1","negative","1800","250","191"
"8","0.2","39","0.1","negative","1800","247","194"
"7","0.2","39","0.1","negative","1800","253","188"
"6","0.2","39","0.1","negative","1800","243","198"
"9","0.2","39","0.1","negative","1800","248","193"
"5","0.2","39","0.1","negative","1800","250","191"
"3","0.2","39","0.1","negative","1800","250","191"
"4","0.2","39","0.1","negative","1900","249","192"
"8","0.2","39","0.1","negative","1900","245","196"
"7","0.2","39","0.1","negative","1900","255","186"
"1","0.2","39","0.1","negative","1200","252","189"
"6","0.2","39","0.1","negative","1900","244","197"
"5","0.2","39","0.1","negative","1900","252","189"
"3","0.2","39","0.1","negative","1900","251","190"
"4","0.2","39","0.1","negative","2000","244","197"
"8","0.2","39","0.1","negative","2000","244","197"
"7","0.2","39","0.1","negative","2000","254","187"
"6","0.2","39","0.1","negative","2000","244","197"
"5","0.2","39","0.1","negative","2000","255","186"
"3","0.2","39","0.1","negative","2000","249","192"
"4","0.2","39","0.1","negative","2100","242","199"
"8","0.2","39","0.1","negative","2100","244","197"
"9","0.2","39","0.1","negative","1900","248","193"
"7","0.2","39","0.1","negative","2100","253","188"
"2","0.2","39","0.1","negative","1400","241","200"
"5","0.2","39","0.1","negative","2100","255","186"
"6","0.2","39","0.1","negative","2100","247","194"
"3","0.2","39","0.1","negative","2100","246","195"
"4","0.2","39","0.1","negative","2200","240","201"
"7","0.2","39","0.1","negative","2200","252","189"
"8","0.2","39","0.1","negative","2200","244","197"
"9","0.2","39","0.1","negative","2000","244","197"
"1","0.2","39","0.1","negative","1300","252","189"
"5","0.2","39","0.1","negative","2200","251","190"
"6","0.2","39","0.1","negative","2200","243","198"
"2","0.2","39","0.1","negative","1500","241","200"
"3","0.2","39","0.1","negative","2200","246","195"
"4","0.2","39","0.1","negative","2300","241","200"
"9","0.2","39","0.1","negative","2100","243","198"
"7","0.2","39","0.1","negative","2300","251","190"
"8","0.2","39","0.1","negative","2300","243","198"
"5","0.2","39","0.1","negative","2300","253","188"
"6","0.2","39","0.1","negative","2300","242","199"
"2","0.2","39","0.1","negative","1600","239","202"
"3","0.2","39","0.1","negative","2300","246","195"
"4","0.2","39","0.1","negative","2400","244","197"
"9","0.2","39","0.1","negative","2200","245","196"
"7","0.2","39","0.1","negative","2400","251","190"
"8","0.2","39","0.1","negative","2400","240","201"
"5","0.2","39","0.1","negative","2400","251","190"
"6","0.2","39","0.1","negative","2400","242","199"
"3","0.2","39","0.1","negative","2400","244","197"
"4","0.2","39","0.1","negative","2500","244","197"
"2","0.2","39","0.1","negative","1700","237","204"
"7","0.2","39","0.1","negative","2500","248","193"
"9","0.2","39","0.1","negative","2300","246","195"
"5","0.2","39","0.1","negative","2500","247","194"
"8","0.2","39","0.1","negative","2500","241","200"
"6","0.2","39","0.1","negative","2500","242","199"
"3","0.2","39","0.1","negative","2500","243","198"
"1","0.2","39","0.1","negative","1400","251","190"
"4","0.2","39","0.1","negative","2600","243","198"
"7","0.2","39","0.1","negative","2600","247","194"
"5","0.2","39","0.1","negative","2600","246","195"
"9","0.2","39","0.1","negative","2400","248","193"
"8","0.2","39","0.1","negative","2600","239","202"
"2","0.2","39","0.1","negative","1800","236","205"
"6","0.2","39","0.1","negative","2600","242","199"
"3","0.2","39","0.1","negative","2600","241","200"
"4","0.2","39","0.1","negative","2700","244","197"
"7","0.2","39","0.1","negative","2700","244","197"
"9","0.2","39","0.1","negative","2500","247","194"
"8","0.2","39","0.1","negative","2700","237","204"
"5","0.2","39","0.1","negative","2700","246","195"
"6","0.2","39","0.1","negative","2700","241","200"
"3","0.2","39","0.1","negative","2700","240","201"
"4","0.2","39","0.1","negative","2800","244","197"
"7","0.2","39","0.1","negative","2800","243","198"
"1","0.2","39","0.1","negative","1500","249","192"
"9","0.2","39","0.1","negative","2600","246","195"
"5","0.2","39","0.1","negative","2800","244","197"
"8","0.2","39","0.1","negative","2800","236","205"
"6","0.2","39","0.1","negative","2800","239","202"
"3","0.2","39","0.1","negative","2800","239","202"
"4","0.2","39","0.1","negative","2900","244","197"
"7","0.2","39","0.1","negative","2900","244","197"
"9","0.2","39","0.1","negative","2700","247","194"
"5","0.2","39","0.1","negative","2900","244","197"
"1","0.2","39","0.1","negative","1600","250","191"
"8","0.2","39","0.1","negative","2900","235","206"
"6","0.2","39","0.1","negative","2900","237","204"
"3","0.2","39","0.1","negative","2900","237","204"
"2","0.2","39","0.1","negative","1900","233","208"
"7","0.2","39","0.1","negative","3000","243","198"
"9","0.2","39","0.1","negative","2800","247","194"
"5","0.2","39","0.1","negative","3000","244","197"
"6","0.2","39","0.1","negative","3000","237","204"
"8","0.2","39","0.1","negative","3000","236","205"
"3","0.2","39","0.1","negative","3000","236","205"
"7","0.2","39","0.1","negative","3100","241","200"
"2","0.2","39","0.1","negative","2000","232","209"
"9","0.2","39","0.1","negative","2900","244","197"
"5","0.2","39","0.1","negative","3100","244","197"
"6","0.2","39","0.1","negative","3100","236","205"
"1","0.2","39","0.1","negative","1700","250","191"
"8","0.2","39","0.1","negative","3100","236","205"
"3","0.2","39","0.1","negative","3100","240","201"
"4","0.2","39","0.1","negative","3000","241","200"
"7","0.2","39","0.1","negative","3200","243","198"
"9","0.2","39","0.1","negative","3000","243","198"
"5","0.2","39","0.1","negative","3200","246","195"
"6","0.2","39","0.1","negative","3200","233","208"
"8","0.2","39","0.1","negative","3200","237","204"
