"BehaviorSpace results (NetLogo 7.0.2)","Table version 2.0"
"modelo_base.nlogox"
"experimento-3-negativa"
"01/28/2026 09:13:04:081 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-53","53","-5","4"
"[run number]","learning-rate","percent-option-B","agents-updated-per-tick","confidence-threshold","spatial-interactions?","influence-type","[step]","pref-A","pref-B"
"44","0.53","39","5","0.01","false","negative","69","636","434"
"40","0.53","39","5","0.01","false","negative","259","611","459"
"42","0.53","39","5","0.01","false","negative","166","628","442"
"30","0.53","39","5","0","false","negative","259","597","473"
"45","0.53","39","5","0.01","false","negative","69","638","432"
"31","0.53","39","5","0.01","false","negative","259","603","467"
"39","0.53","39","5","0.01","false","negative","166","622","448"
"36","0.53","39","5","0.01","false","negative","259","621","449"
"41","0.53","39","5","0.01","false","negative","259","591","479"
"47","0.53","39","5","0.01","false","negative","69","642","428"
"48","0.53","39","5","0.01","false","negative","69","645","425"
"46","0.53","39","5","0.01","false","negative","69","633","437"
"44","0.53","39","5","0.01","false","negative","166","633","437"
"51","0.53","39","5","0.01","false","negative","69","637","433"
"45","0.53","39","5","0.01","false","negative","166","626","444"
"52","0.53","39","5","0.01","false","negative","69","637","433"
"49","0.53","39","5","0.01","false","negative","69","643","427"
"42","0.53","39","5","0.01","false","negative","259","615","455"
"50","0.53","39","5","0.01","false","negative","69","646","424"
"43","0.53","39","5","0.01","false","negative","166","615","455"
"48","0.53","39","5","0.01","false","negative","166","633","437"
"39","0.53","39","5","0.01","false","negative","259","616","454"
"47","0.53","39","5","0.01","false","negative","166","633","437"
"44","0.53","39","5","0.01","false","negative","259","608","462"
"53","0.53","39","5","0.01","false","negative","69","638","432"
"52","0.53","39","5","0.01","false","negative","166","619","451"
"45","0.53","39","5","0.01","false","negative","259","619","451"
"51","0.53","39","5","0.01","false","negative","166","622","448"
"46","0.53","39","5","0.01","false","negative","166","625","445"
"50","0.53","39","5","0.01","false","negative","166","615","455"
"54","0.53","39","5","0.01","false","negative","69","625","445"
"55","0.53","39","5","0.01","false","negative","69","645","425"
"49","0.53","39","5","0.01","false","negative","166","618","452"
"48","0.53","39","5","0.01","false","negative","259","617","453"
"56","0.53","39","5","0.01","false","negative","69","644","426"
"43","0.53","39","5","0.01","false","negative","259","608","462"
"51","0.53","39","5","0.01","false","negative","259","606","464"
"52","0.53","39","5","0.01","false","negative","259","612","458"
"47","0.53","39","5","0.01","false","negative","259","621","449"
"53","0.53","39","5","0.01","false","negative","166","626","444"
"57","0.53","39","5","0.01","false","negative","69","641","429"
"55","0.53","39","5","0.01","false","negative","166","635","435"
"56","0.53","39","5","0.01","false","negative","166","630","440"
"58","0.53","39","5","0.01","false","negative","69","629","441"
"54","0.53","39","5","0.01","false","negative","166","610","460"
"46","0.53","39","5","0.01","false","negative","259","614","456"
"50","0.53","39","5","0.01","false","negative","259","598","472"
"60","0.53","39","5","0.01","false","negative","69","645","425"
"59","0.53","39","5","0.01","false","negative","69","631","439"
"61","0.53","39","5","0.02","false","negative","69","641","429"
"49","0.53","39","5","0.01","false","negative","259","615","455"
"53","0.53","39","5","0.01","false","negative","259","610","460"
"55","0.53","39","5","0.01","false","negative","259","623","447"
"57","0.53","39","5","0.01","false","negative","166","622","448"
"56","0.53","39","5","0.01","false","negative","259","617","453"
"62","0.53","39","5","0.02","false","negative","69","637","433"
"58","0.53","39","5","0.01","false","negative","166","615","455"
"54","0.53","39","5","0.01","false","negative","259","605","465"
"59","0.53","39","5","0.01","false","negative","166","614","456"
"60","0.53","39","5","0.01","false","negative","166","628","442"
"64","0.53","39","5","0.02","false","negative","69","639","431"
"66","0.53","39","5","0.02","false","negative","69","629","441"
"65","0.53","39","5","0.02","false","negative","69","638","432"
"61","0.53","39","5","0.02","false","negative","166","625","445"
"67","0.53","39","5","0.02","false","negative","69","631","439"
"57","0.53","39","5","0.01","false","negative","259","600","470"
"63","0.53","39","5","0.02","false","negative","69","642","428"
"68","0.53","39","5","0.02","false","negative","69","637","433"
"69","0.53","39","5","0.02","false","negative","69","633","437"
"59","0.53","39","5","0.01","false","negative","259","604","466"
"60","0.53","39","5","0.01","false","negative","259","615","455"
"66","0.53","39","5","0.02","false","negative","166","607","463"
"58","0.53","39","5","0.01","false","negative","259","600","470"
"65","0.53","39","5","0.02","false","negative","166","617","453"
"67","0.53","39","5","0.02","false","negative","166","615","455"
"61","0.53","39","5","0.02","false","negative","259","611","459"
"71","0.53","39","5","0.02","false","negative","69","629","441"
"62","0.53","39","5","0.02","false","negative","166","612","458"
"64","0.53","39","5","0.02","false","negative","166","612","458"
"70","0.53","39","5","0.02","false","negative","69","638","432"
"69","0.53","39","5","0.02","false","negative","166","625","445"
"73","0.53","39","5","0.02","false","negative","69","636","434"
"66","0.53","39","5","0.02","false","negative","259","590","480"
"72","0.53","39","5","0.02","false","negative","69","623","447"
"68","0.53","39","5","0.02","false","negative","166","615","455"
"67","0.53","39","5","0.02","false","negative","259","604","466"
"63","0.53","39","5","0.02","false","negative","166","622","448"
"65","0.53","39","5","0.02","false","negative","259","604","466"
"71","0.53","39","5","0.02","false","negative","166","618","452"
"74","0.53","39","5","0.02","false","negative","69","629","441"
"75","0.53","39","5","0.02","false","negative","69","633","437"
"69","0.53","39","5","0.02","false","negative","259","609","461"
"70","0.53","39","5","0.02","false","negative","166","624","446"
"73","0.53","39","5","0.02","false","negative","166","625","445"
"76","0.53","39","5","0.02","false","negative","69","632","438"
"72","0.53","39","5","0.02","false","negative","166","610","460"
"71","0.53","39","5","0.02","false","negative","259","608","462"
"62","0.53","39","5","0.02","false","negative","259","602","468"
"64","0.53","39","5","0.02","false","negative","259","607","463"
"74","0.53","39","5","0.02","false","negative","166","617","453"
"68","0.53","39","5","0.02","false","negative","259","610","460"
"75","0.53","39","5","0.02","false","negative","166","624","446"
"77","0.53","39","5","0.02","false","negative","69","640","430"
"63","0.53","39","5","0.02","false","negative","259","616","454"
"70","0.53","39","5","0.02","false","negative","259","619","451"
"78","0.53","39","5","0.02","false","negative","69","630","440"
"73","0.53","39","5","0.02","false","negative","259","606","464"
"76","0.53","39","5","0.02","false","negative","166","606","464"
"81","0.53","39","5","0.02","false","negative","69","637","433"
"79","0.53","39","5","0.02","false","negative","69","626","444"
"72","0.53","39","5","0.02","false","negative","259","601","469"
"80","0.53","39","5","0.02","false","negative","69","633","437"
"74","0.53","39","5","0.02","false","negative","259","610","460"
"75","0.53","39","5","0.02","false","negative","259","616","454"
"77","0.53","39","5","0.02","false","negative","166","629","441"
"83","0.53","39","5","0.02","false","negative","69","642","428"
"86","0.53","39","5","0.02","false","negative","69","638","432"
"78","0.53","39","5","0.02","false","negative","166","608","462"
"84","0.53","39","5","0.02","false","negative","69","631","439"
"82","0.53","39","5","0.02","false","negative","69","636","434"
"87","0.53","39","5","0.02","false","negative","69","645","425"
"76","0.53","39","5","0.02","false","negative","259","599","471"
"85","0.53","39","5","0.02","false","negative","69","635","435"
"77","0.53","39","5","0.02","false","negative","259","611","459"
"81","0.53","39","5","0.02","false","negative","166","619","451"
"83","0.53","39","5","0.02","false","negative","166","629","441"
"78","0.53","39","5","0.02","false","negative","259","611","459"
"86","0.53","39","5","0.02","false","negative","166","610","460"
"87","0.53","39","5","0.02","false","negative","166","632","438"
"88","0.53","39","5","0.02","false","negative","69","639","431"
"89","0.53","39","5","0.02","false","negative","69","625","445"
"84","0.53","39","5","0.02","false","negative","166","611","459"
"80","0.53","39","5","0.02","false","negative","166","624","446"
"79","0.53","39","5","0.02","false","negative","166","610","460"
"90","0.53","39","5","0.02","false","negative","69","629","441"
"85","0.53","39","5","0.02","false","negative","166","626","444"
"83","0.53","39","5","0.02","false","negative","259","626","444"
"87","0.53","39","5","0.02","false","negative","259","617","453"
"82","0.53","39","5","0.02","false","negative","166","614","456"
"86","0.53","39","5","0.02","false","negative","259","607","463"
"89","0.53","39","5","0.02","false","negative","166","609","461"
"88","0.53","39","5","0.02","false","negative","166","628","442"
"81","0.53","39","5","0.02","false","negative","259","617","453"
"84","0.53","39","5","0.02","false","negative","259","603","467"
"90","0.53","39","5","0.02","false","negative","166","610","460"
"92","0.53","39","5","0.03","false","negative","69","621","449"
"91","0.53","39","5","0.03","false","negative","69","632","438"
"93","0.53","39","5","0.03","false","negative","69","637","433"
"89","0.53","39","5","0.02","false","negative","259","601","469"
"85","0.53","39","5","0.02","false","negative","259","599","471"
"80","0.53","39","5","0.02","false","negative","259","620","450"
"79","0.53","39","5","0.02","false","negative","259","595","475"
"94","0.53","39","5","0.03","false","negative","69","640","430"
"88","0.53","39","5","0.02","false","negative","259","612","458"
"90","0.53","39","5","0.02","false","negative","259","601","469"
"82","0.53","39","5","0.02","false","negative","259","619","451"
"91","0.53","39","5","0.03","false","negative","166","614","456"
"92","0.53","39","5","0.03","false","negative","166","606","464"
"93","0.53","39","5","0.03","false","negative","166","620","450"
"96","0.53","39","5","0.03","false","negative","69","640","430"
"97","0.53","39","5","0.03","false","negative","69","639","431"
"101","0.53","39","5","0.03","false","negative","69","641","429"
"100","0.53","39","5","0.03","false","negative","69","632","438"
"98","0.53","39","5","0.03","false","negative","69","642","428"
"95","0.53","39","5","0.03","false","negative","69","643","427"
"99","0.53","39","5","0.03","false","negative","69","631","439"
"91","0.53","39","5","0.03","false","negative","259","600","470"
"94","0.53","39","5","0.03","false","negative","166","618","452"
"93","0.53","39","5","0.03","false","negative","259","614","456"
"92","0.53","39","5","0.03","false","negative","259","596","474"
"96","0.53","39","5","0.03","false","negative","166","620","450"
"102","0.53","39","5","0.03","false","negative","69","639","431"
"101","0.53","39","5","0.03","false","negative","166","618","452"
"100","0.53","39","5","0.03","false","negative","166","612","458"
"105","0.53","39","5","0.03","false","negative","69","633","437"
"104","0.53","39","5","0.03","false","negative","69","629","441"
"103","0.53","39","5","0.03","false","negative","69","643","427"
"95","0.53","39","5","0.03","false","negative","166","621","449"
"96","0.53","39","5","0.03","false","negative","259","616","454"
"97","0.53","39","5","0.03","false","negative","166","629","441"
"101","0.53","39","5","0.03","false","negative","259","602","468"
"104","0.53","39","5","0.03","false","negative","166","613","457"
"105","0.53","39","5","0.03","false","negative","166","623","447"
"106","0.53","39","5","0.03","false","negative","69","637","433"
"103","0.53","39","5","0.03","false","negative","166","623","447"
"94","0.53","39","5","0.03","false","negative","259","610","460"
"100","0.53","39","5","0.03","false","negative","259","604","466"
"107","0.53","39","5","0.03","false","negative","69","636","434"
"95","0.53","39","5","0.03","false","negative","259","610","460"
"98","0.53","39","5","0.03","false","negative","166","626","444"
"99","0.53","39","5","0.03","false","negative","166","607","463"
"109","0.53","39","5","0.03","false","negative","69","647","423"
"104","0.53","39","5","0.03","false","negative","259","603","467"
"105","0.53","39","5","0.03","false","negative","259","609","461"
"110","0.53","39","5","0.03","false","negative","69","633","437"
"106","0.53","39","5","0.03","false","negative","166","632","438"
"103","0.53","39","5","0.03","false","negative","259","611","459"
"108","0.53","39","5","0.03","false","negative","69","642","428"
"107","0.53","39","5","0.03","false","negative","166","620","450"
"97","0.53","39","5","0.03","false","negative","259","621","449"
"102","0.53","39","5","0.03","false","negative","166","614","456"
"111","0.53","39","5","0.03","false","negative","69","619","451"
"112","0.53","39","5","0.03","false","negative","69","640","430"
"106","0.53","39","5","0.03","false","negative","259","621","449"
"109","0.53","39","5","0.03","false","negative","166","626","444"
"113","0.53","39","5","0.03","false","negative","69","632","438"
"110","0.53","39","5","0.03","false","negative","166","618","452"
"111","0.53","39","5","0.03","false","negative","166","618","452"
"112","0.53","39","5","0.03","false","negative","166","616","454"
"114","0.53","39","5","0.03","false","negative","69","640","430"
"98","0.53","39","5","0.03","false","negative","259","604","466"
"115","0.53","39","5","0.03","false","negative","69","646","424"
"99","0.53","39","5","0.03","false","negative","259","614","456"
"108","0.53","39","5","0.03","false","negative","166","631","439"
"102","0.53","39","5","0.03","false","negative","259","604","466"
"113","0.53","39","5","0.03","false","negative","166","612","458"
"109","0.53","39","5","0.03","false","negative","259","611","459"
"107","0.53","39","5","0.03","false","negative","259","606","464"
"111","0.53","39","5","0.03","false","negative","259","606","464"
"112","0.53","39","5","0.03","false","negative","259","602","468"
"116","0.53","39","5","0.03","false","negative","69","638","432"
"115","0.53","39","5","0.03","false","negative","166","630","440"
"117","0.53","39","5","0.03","false","negative","69","628","442"
"113","0.53","39","5","0.03","false","negative","259","597","473"
"118","0.53","39","5","0.03","false","negative","69","643","427"
"114","0.53","39","5","0.03","false","negative","166","621","449"
"120","0.53","39","5","0.03","false","negative","69","639","431"
"119","0.53","39","5","0.03","false","negative","69","649","421"
"108","0.53","39","5","0.03","false","negative","259","616","454"
"121","0.53","39","5","0.04","false","negative","69","633","437"
"110","0.53","39","5","0.03","false","negative","259","612","458"
"122","0.53","39","5","0.04","false","negative","69","641","429"
"123","0.53","39","5","0.04","false","negative","69","648","422"
"115","0.53","39","5","0.03","false","negative","259","612","458"
"125","0.53","39","5","0.04","false","negative","69","643","427"
"124","0.53","39","5","0.04","false","negative","69","649","421"
"121","0.53","39","5","0.04","false","negative","166","610","460"
"119","0.53","39","5","0.03","false","negative","166","629","441"
"122","0.53","39","5","0.04","false","negative","166","621","449"
"126","0.53","39","5","0.04","false","negative","69","632","438"
"114","0.53","39","5","0.03","false","negative","259","614","456"
"116","0.53","39","5","0.03","false","negative","166","628","442"
"117","0.53","39","5","0.03","false","negative","166","621","449"
"123","0.53","39","5","0.04","false","negative","166","621","449"
"118","0.53","39","5","0.03","false","negative","166","625","445"
"120","0.53","39","5","0.03","false","negative","166","626","444"
"121","0.53","39","5","0.04","false","negative","259","603","467"
"125","0.53","39","5","0.04","false","negative","166","633","437"
"124","0.53","39","5","0.04","false","negative","166","625","445"
"127","0.53","39","5","0.04","false","negative","69","641","429"
"122","0.53","39","5","0.04","false","negative","259","618","452"
"126","0.53","39","5","0.04","false","negative","166","612","458"
"123","0.53","39","5","0.04","false","negative","259","602","468"
"119","0.53","39","5","0.03","false","negative","259","614","456"
"128","0.53","39","5","0.04","false","negative","69","634","436"
"120","0.53","39","5","0.03","false","negative","259","617","453"
"129","0.53","39","5","0.04","false","negative","69","635","435"
"130","0.53","39","5","0.04","false","negative","69","633","437"
"117","0.53","39","5","0.03","false","negative","259","607","463"
"131","0.53","39","5","0.04","false","negative","69","641","429"
"116","0.53","39","5","0.03","false","negative","259","613","457"
"126","0.53","39","5","0.04","false","negative","259","598","472"
"125","0.53","39","5","0.04","false","negative","259","614","456"
"132","0.53","39","5","0.04","false","negative","69","629","441"
"124","0.53","39","5","0.04","false","negative","259","609","461"
"118","0.53","39","5","0.03","false","negative","259","618","452"
"128","0.53","39","5","0.04","false","negative","166","620","450"
"127","0.53","39","5","0.04","false","negative","166","624","446"
"129","0.53","39","5","0.04","false","negative","166","615","455"
"135","0.53","39","5","0.04","false","negative","69","640","430"
"130","0.53","39","5","0.04","false","negative","166","620","450"
"136","0.53","39","5","0.04","false","negative","69","649","421"
"131","0.53","39","5","0.04","false","negative","166","623","447"
